trail_id,name,popularity,length,elevation_gain,difficulty_rating,num_reviews,gpt_rating,feature_wildlife,feature_beach,feature_cave,feature_waterfall,feature_paved,feature_lake,feature_historic-site,feature_dogs-leash,feature_views,feature_dogs,feature_strollers,feature_forest,feature_hot-springs,feature_wild-flowers,feature_ada,feature_city-walk,feature_dogs-no,feature_river,feature_kids,feature_partially-paved,feature_rails-trails,activity_skiing,activity_cross-country-skiing,activity_off-road-driving,activity_nature-trips,activity_surfing,activity_birding,activity_fly-fishing,activity_fishing,activity_walking,activity_sea-kayaking,activity_canoeing,activity_snowshoeing,activity_trail-running,activity_whitewater-kayaking,activity_camping,activity_bike-touring,activity_backpacking,activity_hiking,activity_scenic-driving,activity_snowboarding,activity_paddle-sports,activity_mountain-biking,activity_horseback-riding,activity_road-biking,activity_ice-climbing,activity_rock-climbing,activity_rails-trails,steepness,gain_x_length,gain_x_steepness,length_x_steepness,elevation_gain_sq,length_sq,steepness_sq,log_elevation_gain,log_length,sqrt_elevation_gain,sqrt_length,steepness_bin,route_type_out and back,route_type_point to point
10020048,Harding Ice Field Trail,24.8931,15610.598,1161.8976,5,423,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07443005061405716,18137916.3507648,86.48009717635155,1161.8975992556996,1350006.03288576,243690769.917604,0.005539832434411111,7.058670100490866,9.655769378545463,34.08661907552581,124.94237871915198,0,True,False
10236086,Mount Healy Overlook Trail,18.0311,6920.162,507.7968,3,260,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07337932251675709,3514036.1190816,37.2617851601772,507.7967992662068,257857.59009024003,47888642.106244005,0.005384524973018254,6.232048722697958,8.84233895359003,22.534347117234173,83.18751108189258,0,True,False
10267857,Exit Glacier Trail,17.7821,2896.812,81.9912,1,224,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028303942305182586,237513.0920544,2.3206741943326867,81.99119971696058,6722.556877440001,8391519.763344,0.0008011131500151045,4.418734578079261,7.971711248450585,9.05489922638568,53.82204009511345,0,True,False
10236076,Horseshoe Lake Trail,16.2674,3379.614,119.7864,1,237,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03544381093390011,404831.7944496,4.245686514052532,119.78639964556189,14348.78162496,11421790.788996,0.001256263733518057,4.79402369638134,8.1258126287842,10.944697346203776,58.134447619290235,0,False,False
10236082,Triple Lakes Trail,12.5935,29772.79,1124.712,5,110,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03777650665665646,33485814.18648,42.4876903548214,1124.711999622235,1264977.082944,886419024.3841001,0.0014270644551804099,7.026171003337697,10.301383755278522,33.536726137176835,172.5479353686969,0,True,False
10241620,Bison Gulch,8.8331,11265.38,1178.9664,5,43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10465393967655426,13281504.503231999,123.38347850628433,1178.9663989534608,1389961.77232896,126908786.54439998,0.010952447089823857,7.073241242478031,9.32957834869232,34.336080149021086,106.13849443062587,0,True,False
10236080,Rock Creek Trail,7.6876,7081.096,287.7312,3,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040633709752510475,2037452.2493951998,11.691586067541541,287.7311995936629,82789.24345344,50141920.561216,0.001651098368251265,5.665496151491262,8.865325188072772,16.96264130375927,84.14924836265621,0,True,False
10236075,Taiga Trail,5.9038,2574.944,62.7888,3,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243845302096491,161677.6438272,1.5310753904276155,62.788799756154695,3942.43340544,6630336.603136,0.0005946053135452897,4.155577626350945,7.853971347857511,7.923938414702628,50.7439060380653,0,False,False
10236084,McKinley Station Trail,5.8885,4667.086,113.9952,1,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244253480128171,532025.4019872,2.784372431790688,113.99519975574651,12994.90562304,21781691.731396,0.0005965976255472283,4.744890388361713,8.448504416544367,10.67685346907037,68.31607424318233,0,False,False
10327620,Mount Thorofare Ridge Loop,5.799,6598.294,507.7968,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07695880165849113,3350592.5786592,39.07943321401649,507.79679923041203,257857.59009024003,43537483.710436,0.005922657152710977,6.232048722697958,8.794717952595882,22.534347117234173,81.22988366358774,0,False,False
